,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
202,203,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_33,New
203,204,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_130,New
204,205,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_33,New
205,206,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_130,New
206,207,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_33,New
207,208,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_130,New
208,209,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_33,New
209,210,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_130,New
210,211,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_33,New
211,212,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_130,New
212,213,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_33,New
213,214,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_130,New
214,215,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_33,New
215,216,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_130,New
216,217,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_33,New
217,218,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_130,New
218,219,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_33,New
219,220,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_130,New
220,221,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_33,New
221,222,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_130,New
222,223,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_33,New
223,224,clpA_60,clpX_80,nifS_44,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_130,New
224,225,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_33,New
225,226,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_130,New
226,227,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_33,New
227,228,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_130,New
228,229,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_33,New
229,230,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_130,New
230,231,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_33,New
231,232,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_130,New
232,233,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_33,New
233,234,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_130,New
234,235,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_33,New
235,236,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_130,New
236,237,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_33,New
237,238,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_130,New
238,239,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_33,New
239,240,clpA_60,clpX_80,nifS_78,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_130,New
240,241,clpA_60,clpX_80,nifS_78,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_33,New
241,242,clpA_60,clpX_80,nifS_78,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_130,New
242,243,clpA_60,clpX_80,nifS_78,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_33,New
243,244,clpA_60,clpX_80,nifS_78,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_130,New
244,245,clpA_60,clpX_80,nifS_78,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_33,New
245,246,clpA_60,clpX_80,nifS_78,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_130,New
246,247,clpA_60,clpX_80,nifS_78,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_33,New
247,248,clpA_60,clpX_80,nifS_78,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_130,New
