,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
214,215,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_259,rplB_23,uvrA_28,New
215,216,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_259,rplB_23,uvrA_29,New
216,217,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_288,New
217,218,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_28,New
218,219,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_29,New
219,220,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_288,New
220,221,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_28,New
221,222,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_29,New
222,223,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_288,New
223,224,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_28,New
224,225,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_29,New
225,226,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_288,New
226,227,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_28,New
227,228,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_29,New
228,229,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_288,New
229,230,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_28,New
230,231,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_29,New
231,232,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_288,New
232,233,clpA_51,clpX_24,nifS_298,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_28,New
